,DateTime,Junction,Vehicles,day,week,month,year,hour
0,2023-01-01 00:00:00,1,340,1,6,1,2023,0
1,2023-01-01 01:00:00,1,320,1,6,1,2023,1
2,2023-01-01 02:00:00,1,320,1,6,1,2023,2
3,2023-01-01 03:00:00,1,280,1,6,1,2023,3
4,2023-01-01 04:00:00,1,280,1,6,1,2023,4
5,2023-01-01 05:00:00,1,360,1,6,1,2023,5
6,2023-01-01 06:00:00,1,400,1,6,1,2023,6
7,2023-01-01 07:00:00,1,440,1,6,1,2023,7
8,2023-01-01 08:00:00,1,420,1,6,1,2023,8
9,2023-01-01 09:00:00,1,480,1,6,1,2023,9
10,2023-01-01 10:00:00,1,400,1,6,1,2023,10
11,2023-01-01 11:00:00,1,420,1,6,1,2023,11
12,2023-01-01 12:00:00,1,520,1,6,1,2023,12
13,2023-01-01 13:00:00,1,600,1,6,1,2023,13
14,2023-01-01 14:00:00,1,640,1,6,1,2023,14
15,2023-01-01 15:00:00,1,540,1,6,1,2023,15
16,2023-01-01 16:00:00,1,680,1,6,1,2023,16
17,2023-01-01 17:00:00,1,720,1,6,1,2023,17
18,2023-01-01 18:00:00,1,780,1,6,1,2023,18
19,2023-01-01 19:00:00,1,800,1,6,1,2023,19
20,2023-01-01 20:00:00,1,760,1,6,1,2023,20
21,2023-01-01 21:00:00,1,740,1,6,1,2023,21
22,2023-01-01 22:00:00,1,680,1,6,1,2023,22
23,2023-01-01 23:00:00,1,580,1,6,1,2023,23
24,2023-01-02 00:00:00,1,540,2,0,1,2023,0
25,2023-01-02 01:00:00,1,440,2,0,1,2023,1
26,2023-01-02 02:00:00,1,480,2,0,1,2023,2
27,2023-01-02 03:00:00,1,380,2,0,1,2023,3
28,2023-01-02 04:00:00,1,400,2,0,1,2023,4
29,2023-01-02 05:00:00,1,440,2,0,1,2023,5
30,2023-01-02 06:00:00,1,620,2,0,1,2023,6
31,2023-01-02 07:00:00,1,760,2,0,1,2023,7
32,2023-01-02 08:00:00,1,1160,2,0,1,2023,8
33,2023-01-02 09:00:00,1,1260,2,0,1,2023,9
34,2023-01-02 10:00:00,1,1300,2,0,1,2023,10
35,2023-01-02 11:00:00,1,1040,2,0,1,2023,11
36,2023-01-02 12:00:00,1,1240,2,0,1,2023,12
37,2023-01-02 13:00:00,1,1420,2,0,1,2023,13
38,2023-01-02 14:00:00,1,1280,2,0,1,2023,14
39,2023-01-02 15:00:00,1,1180,2,0,1,2023,15
40,2023-01-02 16:00:00,1,1080,2,0,1,2023,16
41,2023-01-02 17:00:00,1,1120,2,0,1,2023,17
42,2023-01-02 18:00:00,1,1080,2,0,1,2023,18
43,2023-01-02 19:00:00,1,1180,2,0,1,2023,19
44,2023-01-02 20:00:00,1,1340,2,0,1,2023,20
45,2023-01-02 21:00:00,1,1060,2,0,1,2023,21
46,2023-01-02 22:00:00,1,980,2,0,1,2023,22
47,2023-01-02 23:00:00,1,760,2,0,1,2023,23
48,2023-01-03 00:00:00,1,660,3,1,1,2023,0
49,2023-01-03 01:00:00,1,620,3,1,1,2023,1
50,2023-01-03 02:00:00,1,500,3,1,1,2023,2
51,2023-01-03 03:00:00,1,500,3,1,1,2023,3
52,2023-01-03 04:00:00,1,680,3,1,1,2023,4
53,2023-01-03 05:00:00,1,640,3,1,1,2023,5
54,2023-01-03 06:00:00,1,860,3,1,1,2023,6
55,2023-01-03 07:00:00,1,1000,3,1,1,2023,7
56,2023-01-03 08:00:00,1,1260,3,1,1,2023,8
57,2023-01-03 09:00:00,1,1640,3,1,1,2023,9
58,2023-01-03 10:00:00,1,1640,3,1,1,2023,10
59,2023-01-03 11:00:00,1,1340,3,1,1,2023,11
60,2023-01-03 12:00:00,1,1600,3,1,1,2023,12
61,2023-01-03 13:00:00,1,1580,3,1,1,2023,13
62,2023-01-03 14:00:00,1,1540,3,1,1,2023,14
63,2023-01-03 15:00:00,1,1460,3,1,1,2023,15
64,2023-01-03 16:00:00,1,1520,3,1,1,2023,16
65,2023-01-03 17:00:00,1,1540,3,1,1,2023,17
66,2023-01-03 18:00:00,1,1540,3,1,1,2023,18
67,2023-01-03 19:00:00,1,1660,3,1,1,2023,19
68,2023-01-03 20:00:00,1,1620,3,1,1,2023,20
69,2023-01-03 21:00:00,1,1340,3,1,1,2023,21
70,2023-01-03 22:00:00,1,1320,3,1,1,2023,22
